task,model,alpha,tune_r2,heldout_r2,heldout_standardized_rmse,heldout_standardized_mae,feature_dimension,target_dimension,fit_rows,tune_rows,heldout_rows
boundary_gradient,baseline,10000.0,-0.06569450791564302,-0.06182985277672537,1.0019224981202752,0.5321757256767093,3,45,728,273,455
boundary_gradient,dstm,10000.0,-0.06579177465296016,-0.06014944656381149,1.0011293845029319,0.5322811986171094,48,45,728,273,455
boundary_gradient,random_00,10000.0,-0.0721288621793501,-0.0662359795412415,1.0039991148876415,0.5317033367004428,48,45,728,273,455
boundary_gradient,random_01,10000.0,-0.07472470902739792,-0.06484331058908266,1.0033432116451069,0.5288433861222457,48,45,728,273,455
boundary_gradient,random_02,10000.0,-0.07337642195259231,-0.0650661334389182,1.0034481830043491,0.5299459283485272,48,45,728,273,455
boundary_gradient,random_03,10000.0,-0.07722303506748185,-0.06974596004504208,1.0056503074663574,0.5360252194778952,48,45,728,273,455
boundary_gradient,random_04,10000.0,-0.07700410876339592,-0.06420843361431228,1.0030440622433956,0.5288583135224998,48,45,728,273,455
boundary_gradient,random_05,10000.0,-0.07273923985863595,-0.06735651923800545,1.0045265428965042,0.5333270796929851,48,45,728,273,455
boundary_gradient,random_06,10000.0,-0.07887338614476969,-0.06904486432506696,1.0053207092666097,0.5335059621684273,48,45,728,273,455
boundary_gradient,random_07,10000.0,-0.07352773920885047,-0.0642845953666007,1.0030799538151178,0.5300576640942238,48,45,728,273,455
boundary_gradient,random_08,10000.0,-0.07099629760939541,-0.06806201063972073,1.0048584693708082,0.5347507717682333,48,45,728,273,455
boundary_gradient,random_09,10000.0,-0.07736477858343149,-0.06410955169556387,1.0029974617738089,0.529297510989851,48,45,728,273,455
boundary_gradient,random_10,10000.0,-0.07522522784816821,-0.06597975794138944,1.0038784747476368,0.5303553136079844,48,45,728,273,455
boundary_gradient,random_11,10000.0,-0.07400592790650595,-0.0669258382617568,1.0043238579852138,0.5319287278146373,48,45,728,273,455
boundary_gradient,random_12,10000.0,-0.0738843028437497,-0.06479036063629384,1.0033182654226824,0.5305702699370335,48,45,728,273,455
boundary_gradient,random_13,10000.0,-0.07238925191349632,-0.06484092259258878,1.0033420866056804,0.5307505998284773,48,45,728,273,455
boundary_gradient,random_14,10000.0,-0.07012561185524624,-0.06777128083653983,1.0047216972614497,0.5352994574967948,48,45,728,273,455
boundary_gradient,random_15,10000.0,-0.07758400573165547,-0.0658028488840281,1.0037951698995162,0.5306015695821468,48,45,728,273,455
syndrome_velocity,baseline,10000.0,-0.11008206984615154,-0.11019137845739535,1.017068701714524,0.6333011234440391,3,45,704,264,440
syndrome_velocity,dstm,10000.0,-0.10143839636067065,-0.09902883999042555,1.0119426708497337,0.6281496391699296,48,45,704,264,440
syndrome_velocity,random_00,10000.0,-0.11707785338040133,-0.1142580814205969,1.0189297932295531,0.6313530493569329,48,45,704,264,440
syndrome_velocity,random_01,10000.0,-0.12220566877723882,-0.1127829026277849,1.0182550835411321,0.6272904475349605,48,45,704,264,440
syndrome_velocity,random_02,10000.0,-0.11818793172294773,-0.1142804238433699,1.018940008657414,0.6293631168821558,48,45,704,264,440
syndrome_velocity,random_03,10000.0,-0.12644536856675126,-0.12091204934392175,1.021967614777927,0.6370171328413001,48,45,704,264,440
syndrome_velocity,random_04,10000.0,-0.1224092143499298,-0.11009568910811751,1.0170248692990869,0.6269464650670956,48,45,704,264,440
syndrome_velocity,random_05,10000.0,-0.11680318627909592,-0.11537814841381078,1.0194417854636877,0.6318263976230847,48,45,704,264,440
syndrome_velocity,random_06,10000.0,-0.12755255809882038,-0.12067794708184643,1.0218608903371484,0.6348184543713639,48,45,704,264,440
syndrome_velocity,random_07,10000.0,-0.11821078702878296,-0.11037258829089636,1.0171517033184034,0.628340523763596,48,45,704,264,440
syndrome_velocity,random_08,10000.0,-0.11336156174624645,-0.11733465379570829,1.020335504532241,0.6343890996236761,48,45,704,264,440
syndrome_velocity,random_09,10000.0,-0.12572319557011236,-0.11168503949496489,1.0177526582349226,0.6285262065836219,48,45,704,264,440
syndrome_velocity,random_10,10000.0,-0.12066408815887408,-0.11412842331548334,1.0188705087819447,0.6288868393402889,48,45,704,264,440
syndrome_velocity,random_11,10000.0,-0.11749408290934826,-0.11506409447978716,1.019298254660488,0.6314618057948778,48,45,704,264,440
syndrome_velocity,random_12,10000.0,-0.11739162878888054,-0.1124193145940573,1.0180887188309253,0.6300338679214358,48,45,704,264,440
syndrome_velocity,random_13,10000.0,-0.11614991077940862,-0.11254385152011515,1.0181457054768162,0.6291404537158258,48,45,704,264,440
syndrome_velocity,random_14,10000.0,-0.11251047205012643,-0.11759334340573857,1.0204536136936049,0.6358518823861196,48,45,704,264,440
syndrome_velocity,random_15,10000.0,-0.12686395635159076,-0.11433305891801404,1.0189640741210664,0.6301614116747178,48,45,704,264,440
future_train_loss,baseline,1.0,0.9706154340905195,0.9725712678597926,0.1555233597842262,0.09854473969135562,3,1,688,258,430
future_train_loss,dstm,100.0,0.8173494867058388,0.8407781185453409,0.3747090124892486,0.3193924934338814,48,1,688,258,430
future_train_loss,random_00,100.0,0.8213866904941598,0.9327612440072188,0.2435020366607587,0.19920358998097296,48,1,688,258,430
future_train_loss,random_01,100.0,0.733960281165495,0.9537572164646415,0.20193646393933362,0.1664596253350492,48,1,688,258,430
