method,seed,learning_rate,weight_decay,strength,epochs,train_nll,validation_nll,validation_nll_auc,test_nll,test_accuracy,test_brier,corrupted_accuracy,boundary_ratio,balance_ratio,path_diamond_ratio,wall_seconds
baseline,10,0.45,0.0001,0.0,100,0.021302049964994605,0.13715827732284142,0.3333447142959764,0.14055632873360022,0.9666666666666667,0.04679533530874121,0.9444444444444444,1.0814514420892414,0.06199790856864439,0.12229989885391783,0.10687353300090763
baseline,11,0.45,0.0001,0.0,100,0.019612949492390654,0.20255490267725207,0.3806846960881016,0.13903300256244833,0.9583333333333334,0.058883572134174646,0.9444444444444444,1.0993038426246857,0.05881164462054903,0.11581589548803016,0.1008356799975445
baseline,12,0.45,0.0001,0.0,100,0.018791718194004305,0.1701092563610231,0.33841080074103,0.11661000568307174,0.9666666666666667,0.045380138831005015,0.9444444444444444,1.0590142967689622,0.06289296039021817,0.10914465205939099,0.09106402799807256
baseline,13,0.45,0.0001,0.0,100,0.021065765315952795,0.1444148392374369,0.3364468620215473,0.12070984743409947,0.9666666666666667,0.048607328016550815,0.9333333333333333,1.0796631016152611,0.06424810277836311,0.12024526049628352,0.10268754299977445
baseline,14,0.45,0.0001,0.0,100,0.016708135392748843,0.14762897788811857,0.3433671208067251,0.10994722806549587,0.9666666666666667,0.04353489733348872,0.9416666666666667,1.0409645055008643,0.06127779698347709,0.11623305154437572,0.10480999599894858
baseline,15,0.45,0.0001,0.0,100,0.018983898688426495,0.16123236109924335,0.3162903199882845,0.11350440036143015,0.9694444444444444,0.04265991217512827,0.9388888888888889,1.0795442449258459,0.06854700083695653,0.11772185128501295,0.10144750399922486
baseline,16,0.45,0.0001,0.0,100,0.023628507500689663,0.15545297908846095,0.31996690171193054,0.1353306425372284,0.9555555555555556,0.060534188698663255,0.9333333333333333,1.0703050177853632,0.06128538860225984,0.12404064313285675,0.09663088700108347
baseline,17,0.45,0.0001,0.0,100,0.02900280302921179,0.1568445629383873,0.34737899311794507,0.1510038949089714,0.9694444444444444,0.05370728185001295,0.9472222222222222,1.07658257218761,0.06903160012843247,0.13984932655457522,0.09910804299943266
dstm_penalty,10,0.45,0.0001,0.003,100,0.03846235822252455,0.13764502432366463,0.327888512847663,0.12168562514512415,0.9694444444444444,0.04429067837006293,0.95,0.8010704273815588,0.05673453401770463,0.12183179941228665,0.315228647999902
dstm_penalty,11,0.45,0.0001,0.003,100,0.04261027066571981,0.1595559224397007,0.35541641720262945,0.11389966401261385,0.9638888888888889,0.04860746519883896,0.9472222222222222,0.8154869974987191,0.06862963001831568,0.1159305011278432,0.26182986099956906
dstm_penalty,12,0.45,0.0001,0.003,100,0.03711987629998823,0.15695289347437544,0.32637211375478814,0.11623650733375972,0.9722222222222222,0.04198724873782589,0.95,0.7593929717542641,0.07654668476227669,0.10716107730915508,0.25981633700212114
dstm_penalty,13,0.45,0.0001,0.003,100,0.04234935855307891,0.13129405129280608,0.3246731581838618,0.10647560791264936,0.9638888888888889,0.04779477208287755,0.9305555555555556,0.7931380519874403,0.06803299837761616,0.11989126082523141,0.27247964599882835
dstm_penalty,14,0.45,0.0001,0.003,100,0.034878449718886234,0.1367079236193192,0.3308827163360453,0.09984007390382396,0.9805555555555555,0.03728889111089476,0.9472222222222222,0.7456435338206705,0.07067864773191704,0.11657529209360577,0.28678933099945425
dstm_penalty,15,0.45,0.0001,0.003,100,0.03664447409358768,0.14517060664523376,0.3051658863627239,0.10907510258481815,0.9694444444444444,0.04534733430616615,0.9416666666666667,0.7803519848031425,0.06912932123579542,0.11741345835850264,0.26167012299993075
dstm_penalty,16,0.45,0.0001,0.003,100,0.0430703343188155,0.13836879792479395,0.30753258808212236,0.11765439762405557,0.9666666666666667,0.052252023557530294,0.9416666666666667,0.7650742665001897,0.06313097287504829,0.1236868589758649,0.25724443400031305
dstm_penalty,17,0.45,0.0001,0.003,100,0.046769426691585625,0.1508711330487208,0.3388594911666916,0.12107759419762115,0.975,0.04538788869775672,0.9388888888888889,0.7944107464049255,0.07731094802553709,0.1360784238578462,0.28859175500110723
matched_spectrum_penalty,10,0.45,0.0001,0.003,100,0.0374468266497013,0.1359424268785116,0.3273993646543608,0.12459103130227796,0.975,0.04484588597228751,0.9472222222222222,1.0778461295479187,0.04924264354870788,0.12348504234629815,0.27180616999976337
matched_spectrum_penalty,11,0.45,0.0001,0.003,100,0.03658907655757446,0.155576164336104,0.3542520084766908,0.12008387891913493,0.9666666666666667,0.0527297600344275,0.9444444444444444,1.0922200367462065,0.05784910565368192,0.11450101889053893,0.2626621920026082
matched_spectrum_penalty,12,0.45,0.0001,0.003,100,0.03751757531665685,0.1598365346589325,0.3280541958639218,0.1095307983933207,0.9638888888888889,0.044729023118219864,0.95,1.0651613958117199,0.05998008659047069,0.10816470192379175,0.26035172599949874
matched_spectrum_penalty,13,0.45,0.0001,0.003,100,0.03877873922177267,0.11781915474231434,0.31826192838572487,0.10539511156445934,0.9722222222222222,0.0424895436486739,0.9333333333333333,1.0750912814183844,0.05556578582071091,0.11894107798780834,0.6202798840022297
matched_spectrum_penalty,14,0.45,0.0001,0.003,100,0.03617167637219604,0.1285654246729471,0.3264441511122479,0.1050350195453171,0.9722222222222222,0.04037068169314386,0.9472222222222222,1.0405736546569113,0.06314460095851274,0.11478322969414921,0.34434965699983877
matched_spectrum_penalty,15,0.45,0.0001,0.003,100,0.03389269128246299,0.15430336136364003,0.31214870408897694,0.10768409734662386,0.9694444444444444,0.04466811812098468,0.9444444444444444,1.0760687574052803,0.06148092655311651,0.1173435019242986,0.3266668809992552
matched_spectrum_penalty,16,0.45,0.0001,0.003,100,0.04011447204147019,0.12664875773513215,0.30133939387007186,0.10819480597143007,0.9694444444444444,0.04586589542457558,0.9416666666666667,1.076713754971817,0.06057103796828482,0.12328527174220842,0.2936096619996533
matched_spectrum_penalty,17,0.45,0.0001,0.003,100,0.046278591457889505,0.14545208614264854,0.3376113720622345,0.12574387403045348,0.9666666666666667,0.04628064002840124,0.9444444444444444,1.0885041259395083,0.05641815387308878,0.13974921928207232,0.2674367440013157
dstm_sobolev,10,0.45,0.0001,0.5,100,0.02703808968656703,0.15721637152557558,0.3572014352863849,0.13537583323063612,0.9666666666666667,0.045124628837610446,0.9444444444444444,0.9771679525381333,0.05969518321159478,0.12135362672061267,0.5026785769987328
dstm_sobolev,11,0.45,0.0001,0.5,100,0.02693097039176035,0.19489780822505948,0.3916537287637496,0.13244387525245402,0.9638888888888889,0.05633992339485911,0.9444444444444444,0.9898504523304927,0.06328090361949268,0.11809062632096994,0.47094171899880166
dstm_sobolev,12,0.45,0.0001,0.5,100,0.022867203203707092,0.1852694059839952,0.36136262705232086,0.12097100576554662,0.9638888888888889,0.04241900955511546,0.9444444444444444,0.9365296785592516,0.06903123638672869,0.10562580314168431,0.43544646199734416
dstm_sobolev,13,0.45,0.0001,0.5,100,0.030004936847375582,0.15292953894805084,0.35836037921451236,0.1117443888059823,0.9666666666666667,0.044825559621145615,0.9277777777777778,0.9724650718684815,0.0626692700385157,0.12061572507691473,0.44317433800097206
dstm_sobolev,14,0.45,0.0001,0.5,100,0.025704862013816998,0.16928014841549802,0.37911832093486614,0.10360255442747379,0.9722222222222222,0.04120059429008017,0.9472222222222222,0.931870816668435,0.06538946214620243,0.11928583569115254,0.42223066199949244
dstm_sobolev,15,0.45,0.0001,0.5,100,0.024094777935473686,0.16221650762793038,0.33149247654370406,0.11261937627355181,0.9666666666666667,0.04199807799073173,0.9333333333333333,0.9579109146113178,0.06665309309297467,0.11577050298031019,0.4556136350001907
dstm_sobolev,16,0.45,0.0001,0.5,100,0.029528422118084444,0.1522891437773396,0.3299378427995421,0.12675012141062322,0.9611111111111111,0.05534583586601883,0.9333333333333333,0.9518542925986785,0.061309750799235126,0.1221292054144204,0.4269597849997808
dstm_sobolev,17,0.45,0.0001,0.5,100,0.03306326562746207,0.1617587204523274,0.36193661605074345,0.139776246971286,0.9666666666666667,0.04907844977222813,0.9472222222222222,0.9692748655404145,0.0725672691198918,0.13402743887014784,0.42809808399761096
matched_spectrum_sobolev,10,0.45,0.0001,0.5,100,0.026752967151167345,0.13977335617335682,0.34846496982524455,0.13393764660590793,0.975,0.044896686395340425,0.9472222222222222,1.0800853105805914,0.05855884887887347,0.12219742339497883,0.47250587199960137
matched_spectrum_sobolev,11,0.45,0.0001,0.5,100,0.023310492041469517,0.1859859940502579,0.3764908071734338,0.1300635299894313,0.9638888888888889,0.05445112748527501,0.9416666666666667,1.0947430743616577,0.058910745491790956,0.11498868399714789,0.44906693500161055
matched_spectrum_sobolev,12,0.45,0.0001,0.5,100,0.023315909975167408,0.15393966810374307,0.33705190734760093,0.11400442056745438,0.9666666666666667,0.044019192554983405,0.9472222222222222,1.0567319110995161,0.0631707281221576,0.10655785143262565,0.45288215699838474
matched_spectrum_sobolev,13,0.45,0.0001,0.5,100,0.026578719141628838,0.13866570749045967,0.3435220005598049,0.11868216951528585,0.9722222222222222,0.0451831583028056,0.9277777777777778,1.0718006591897,0.059346298477404406,0.1176242001088242,0.4487448969994148
matched_spectrum_sobolev,14,0.45,0.0001,0.5,100,0.022798728739866395,0.1454033047179745,0.35540756699930137,0.11396367837630454,0.9611111111111111,0.04525798714353701,0.9416666666666667,1.0380705894962179,0.0609532080635264,0.11434460374938263,0.4258316730010847
matched_spectrum_sobolev,15,0.45,0.0001,0.5,100,0.02252755610559998,0.16693377142927973,0.3299171727508974,0.11182715187712546,0.9722222222222222,0.04454078588540478,0.9277777777777778,1.0758571745429926,0.06622461439156883,0.11676266803199639,0.4283134780016553
matched_spectrum_sobolev,16,0.45,0.0001,0.5,100,0.0286128253260642,0.1505187310083791,0.328267346956459,0.1247485152420527,0.9611111111111111,0.05506639244528528,0.9388888888888889,1.0724507319370886,0.06063237720297134,0.12318240369978757,0.44477758100038045
matched_spectrum_sobolev,17,0.45,0.0001,0.5,100,0.03573855976377603,0.16783670317219157,0.36286601877089736,0.1460665295902114,0.9611111111111111,0.053369574993399324,0.95,1.0869660284917755,0.06506095982096399,0.1343513367571951,0.41109790799964685
grid_sobolev,10,0.45,0.0001,0.5,100,0.028933311872256434,0.14611176742608661,0.3538897059329379,0.13570829979299148,0.9694444444444444,0.04533570312764831,0.9388888888888889,1.0539202472389904,0.064578229415359,0.12062782353463705,0.11467849400287378
grid_sobolev,11,0.45,0.0001,0.5,100,0.02876367351092842,0.20641956222286328,0.4045705957863606,0.13414881692749137,0.9611111111111111,0.05821039714914236,0.9444444444444444,1.0635692245669208,0.06394674409017416,0.11811173785066299,0.13938445299936575
grid_sobolev,12,0.45,0.0001,0.5,100,0.026047930632881824,0.18368221073492264,0.36411142998108553,0.11902447877481662,0.9638888888888889,0.04409313401970672,0.9472222222222222,1.0238774434610143,0.06706240770266234,0.10810513482213499,0.11432182700082194
grid_sobolev,13,0.45,0.0001,0.5,100,0.030357469729901485,0.1540079934210753,0.36366567632470925,0.11977024503695365,0.9694444444444444,0.04672105103143291,0.9333333333333333,1.0509347072494946,0.06686572621460658,0.12070213104855002,0.11439888600216364
grid_sobolev,14,0.45,0.0001,0.5,100,0.024816250483739036,0.15908221067716288,0.3763946179553938,0.10851009904478512,0.9722222222222222,0.043460016870246775,0.9472222222222222,1.01096716520182,0.06389325393782924,0.11755584592094798,0.12658329000259982
grid_sobolev,15,0.45,0.0001,0.5,100,0.0254250683643304,0.16066429355897455,0.32986094680364014,0.11131001920814493,0.9694444444444444,0.04136393518481763,0.9388888888888889,1.049222377211597,0.07239942206833097,0.11621307494111349,0.1082777960000385
grid_sobolev,16,0.45,0.0001,0.5,100,0.032821476618243035,0.15493719520366525,0.3344015825389486,0.12215937836013306,0.9666666666666667,0.05223326098991313,0.9388888888888889,1.0410404103346436,0.06601039514176194,0.12144412965420395,0.12381668399757473
grid_sobolev,17,0.45,0.0001,0.5,100,0.037830251497468464,0.1692982031783007,0.3724648823484404,0.14475350891161062,0.9694444444444444,0.05134545402165644,0.95,1.0521115400828844,0.07606805111143784,0.13459317175360572,0.10507521799809183
architecture_balance,10,0.45,0.0001,0.003,100,0.01949431942597049,0.12964101473015613,0.3289042339376354,0.1355850601824399,0.9694444444444444,0.046406258341420197,0.9416666666666667,1.0766377640384477,0.013859368529933903,0.1271969267926426,0.10379235499931383
architecture_balance,11,0.45,0.0001,0.003,100,0.018614423240880848,0.19818591110604217,0.3780523146100756,0.1365052810239489,0.9583333333333334,0.05877862602753751,0.9444444444444444,1.1091342465066436,0.01487602064688712,0.12043478459973772,0.10848487200200907
architecture_balance,12,0.45,0.0001,0.003,100,0.01734646306279748,0.16435537879078835,0.3346527639206456,0.11421861413834773,0.9666666666666667,0.04492373818471453,0.9472222222222222,1.070133267406521,0.014368129596057934,0.11445497526006077,0.11303230699923006
architecture_balance,13,0.45,0.0001,0.003,100,0.019725251559030977,0.1394074727652726,0.332857714153916,0.11544401180794803,0.9666666666666667,0.04758325096017136,0.9277777777777778,1.0776711661867158,0.014806467429342982,0.12574556689322025,0.11038815999927465
architecture_balance,14,0.45,0.0001,0.003,100,0.015619614161014901,0.14083471855521712,0.3384686441331125,0.10733770122084126,0.9722222222222222,0.04230304874506913,0.9444444444444444,1.0536591243726907,0.014720452332893154,0.12172361699679306,0.10708213000179967
architecture_balance,15,0.45,0.0001,0.003,100,0.017624210752630154,0.1560669605392601,0.31261427211881954,0.11093103289435105,0.9722222222222222,0.04231559025058785,0.9416666666666667,1.0817961856256637,0.00962664884156927,0.1223443762827495,0.11071266299768467
architecture_balance,16,0.45,0.0001,0.003,100,0.021889705865641797,0.15049442182681833,0.31644392820791556,0.1326937255512484,0.9583333333333334,0.06119829207268925,0.9333333333333333,1.068316563286027,0.014237977797373529,0.12891452790147015,0.10460826299822656
architecture_balance,17,0.45,0.0001,0.003,100,0.027209460642783633,0.15040407929154215,0.3430456182696298,0.14689591453188708,0.9666666666666667,0.05322446214590381,0.9444444444444444,1.0853959235851816,0.01468455336002318,0.14601105357689168,0.10439001900158473
