method,seed,learning_rate,weight_decay,strength,epochs,train_nll,validation_nll,validation_nll_auc,test_nll,test_accuracy,test_brier,corrupted_accuracy,boundary_ratio,balance_ratio,path_diamond_ratio,wall_seconds,candidate_index
baseline,0,0.15,0.0,0.0,70,0.10900068656882939,0.18077974268161026,0.5220473564578194,0.1445408281523292,0.9666666666666667,0.059557033768604856,0.9444444444444444,1.078268006579934,0.05304064945496505,0.10730359960118967,0.07674937800038606,0
baseline,1,0.15,0.0,0.0,70,0.13143801417243361,0.18082193232139632,0.6149367357660687,0.16819414031706065,0.9611111111111111,0.06706439523499268,0.9305555555555556,1.0492853358038616,0.05146848406743354,0.12005033566643819,0.06787376599822892,0
baseline,2,0.15,0.0,0.0,70,0.12740295922361378,0.18576088042811975,0.604092330025729,0.16510703728781206,0.9611111111111111,0.07144312759430121,0.9333333333333333,1.0420660740793863,0.05636587682643593,0.1178373625361016,0.06614725299732527,0
baseline,0,0.15,0.0001,0.0,70,0.10953333298567731,0.18060555355787555,0.5221306128634551,0.1447302956373629,0.9666666666666667,0.05959648775550916,0.9444444444444444,1.0781533144280548,0.05292971789493706,0.10736901027458001,0.057034058998397086,1
baseline,1,0.15,0.0001,0.0,70,0.13183779923817993,0.18085365237655815,0.6150641914362339,0.16842275834541548,0.9611111111111111,0.06718106334697789,0.9305555555555556,1.0492241711805512,0.05131971999390009,0.12017687313752669,0.0676832729986927,1
baseline,2,0.15,0.0001,0.0,70,0.12780892701551966,0.18581698388582205,0.6042980893663304,0.16528371292168403,0.9611111111111111,0.07149442932006965,0.9333333333333333,1.0420353426108384,0.056204198665002786,0.11795294955663126,0.08202954399894224,1
baseline,0,0.3,0.0,0.0,70,0.04877153071280223,0.158349073360067,0.3980643404675208,0.11763174785849487,0.975,0.04272601691023426,0.9527777777777777,1.0682306861789825,0.05905231588734847,0.10979795473471414,0.07293963600022835,2
baseline,1,0.3,0.0,0.0,70,0.06640897965074745,0.15442767482312117,0.4579365632047576,0.14042486441589755,0.9638888888888889,0.05184670647631189,0.9416666666666667,1.0362152763606758,0.054926473283341354,0.12459311830237775,0.0555841950008471,2
baseline,2,0.3,0.0,0.0,70,0.0606212148490764,0.15515185216518917,0.4611625574448547,0.1321012787768902,0.9694444444444444,0.05251187002549228,0.9416666666666667,1.0331616557918848,0.058679411583257526,0.12354474061940464,0.07600883600025554,2
baseline,0,0.3,0.0001,0.0,70,0.04951514901003614,0.1571896840990915,0.3975472375254147,0.11710869832793747,0.975,0.042757835742501644,0.9527777777777777,1.0680808857447825,0.0589291159755268,0.10989829628866843,0.07678393699825392,3
baseline,1,0.3,0.0001,0.0,70,0.06691707091540017,0.1535384553773699,0.45761027098331347,0.13977183605269414,0.9638888888888889,0.051664381877545205,0.9416666666666667,1.03620821855037,0.054732513999083666,0.12477232515050748,0.05370552800013684,3
baseline,2,0.3,0.0001,0.0,70,0.06108487695124551,0.1540968298058438,0.4607300801127708,0.13148512409853425,0.9694444444444444,0.052432625192127186,0.9416666666666667,1.033265051537681,0.05849106238903208,0.12370749520945114,0.05482486399705522,3
baseline,0,0.45,0.0,0.0,70,0.028316052365511442,0.15652571029075552,0.3534237175659003,0.11786887035612917,0.9694444444444444,0.04095846730755527,0.9527777777777777,1.0625846448673884,0.06457439170614088,0.1108104266449768,0.07821923099982087,4
baseline,1,0.45,0.0,0.0,70,0.04102092721816383,0.1617225043069174,0.40552240050760824,0.14444803379069254,0.9666666666666667,0.05133438853129988,0.9416666666666667,1.0276506634980522,0.05978485396114767,0.12710771493517056,0.08171550399856642,4
baseline,2,0.45,0.0,0.0,70,0.032886818600804196,0.14521259378259835,0.400758488674333,0.13778986775491983,0.9638888888888889,0.053524239018555915,0.9444444444444444,1.0305209892050708,0.06292708113935867,0.12631012659686425,0.09396916499827057,4
baseline,0,0.45,0.0001,0.0,70,0.029039355964428415,0.15378443624867552,0.3520379037929113,0.11625372567856769,0.9722222222222222,0.04077808632995918,0.9555555555555556,1.0624945629333162,0.06445165215687501,0.11092799166548246,0.061349251998763066,5
baseline,1,0.45,0.0001,0.0,70,0.04171077610841496,0.1595444764737525,0.4045033792834565,0.14244350087786858,0.9694444444444444,0.050912509991299135,0.9416666666666667,1.0274550719955324,0.05958012860134008,0.12727707091542442,0.05500935400050366,5
baseline,2,0.45,0.0001,0.0,70,0.03367146654143059,0.14349860851921062,0.39983022327643813,0.13579507160547272,0.9638888888888889,0.05295919645454098,0.9472222222222222,1.0305913407323122,0.06273252507061679,0.12650280767719727,0.07258383600128582,5
dstm_penalty,0,0.15,0.0001,0.0003,70,0.11023209571000257,0.18051424847423575,0.5222846172314546,0.14496416844248516,0.9638888888888889,0.05955904110142642,0.9444444444444444,1.0714879224941238,0.0528058169655432,0.10748375644740817,0.18851879199792165,0
dstm_penalty,1,0.15,0.0001,0.0003,70,0.13228285227149206,0.18071288303451136,0.6151694916019886,0.1685847335050921,0.9611111111111111,0.067213640359801,0.9305555555555556,1.0425750054351917,0.05135908873762639,0.12033303637958233,0.1841535349994956,0
dstm_penalty,2,0.15,0.0001,0.0003,70,0.12807823130662432,0.1856368178798199,0.604390903037998,0.16557036599319894,0.9611111111111111,0.07153926879271513,0.9305555555555556,1.0357215291751976,0.05612412336060791,0.11804713410453707,0.1894603590008046,0
dstm_penalty,0,0.15,0.0001,0.003,70,0.11786517040267899,0.1813912980321149,0.5243034182703498,0.14770647590570427,0.9722222222222222,0.059378694417937056,0.9416666666666667,1.0101256299178711,0.052067770643586274,0.10846766117420757,0.2025858149972919,1
dstm_penalty,1,0.15,0.0001,0.003,70,0.13681099552221873,0.1815832998076429,0.6169247343676206,0.17181987146962951,0.9611111111111111,0.06850564311482413,0.9222222222222223,0.9830113081061439,0.052146569766478974,0.12150991054604245,0.18013382900244324,1
dstm_penalty,2,0.15,0.0001,0.003,70,0.13192989480848102,0.1851290629943165,0.6061357158568204,0.1678229393687425,0.9638888888888889,0.07258624208332143,0.9333333333333333,0.979432325542883,0.055617822419589034,0.11876973520169394,0.18446469899936346,1
dstm_penalty,0,0.3,0.0001,0.0003,70,0.05039804420644953,0.1557612632886756,0.39689288957706487,0.11682438729143083,0.975,0.042806229685473554,0.95,1.055070513701963,0.05878541993507148,0.11009839709289915,0.19119858799967915,2
dstm_penalty,1,0.3,0.0001,0.0003,70,0.06747740284238399,0.15276714249626405,0.4573162508164041,0.13938761769389493,0.9638888888888889,0.05146022129966135,0.9416666666666667,1.0235553386598992,0.05506828182630609,0.12500109702649753,0.18533502100035548,2
dstm_penalty,2,0.3,0.0001,0.0003,70,0.06161819817323963,0.1532823514049942,0.46031003464678283,0.13090998809734097,0.9694444444444444,0.05234683657776466,0.9416666666666667,1.0211670008551212,0.058666187672244643,0.12383744051219449,0.21112824000010733,2
dstm_penalty,0,0.3,0.0001,0.003,70,0.060560434598019665,0.14983707496589874,0.39399304417427233,0.11760071557896544,0.9694444444444444,0.04374515059527296,0.9472222222222222,0.9355121127484393,0.05881987722652712,0.11159014099242852,0.18833426700075506,3
